CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000007A,41-5-003,012+0.914,026+0.475,N-7,119,13.481,1136.25,15317.78625,,RAVALLI,,US-93,NI-NHS,23.8,47.74159663865546,643.6044642857142
C000024A,25-3-005,087+0.493,100+0.431,N-24,90,12.958,1355.0,17558.09,,LEWIS AND CLARK,,MT-200,NI-NHS,18.0,75.27777777777777,975.4494444444445
C000028A,05-1-005,076+0.177,090+0.771,P-28,160,14.587,2417.2,35259.69639999999,,CARBON,,US-212,Primary,32.0,75.5375,1101.8655124999998
C000001A,15-6-003,100+0.603,111+0.856,N-1,233,11.215,3534.75,39642.22125,,FLATHEAD,,US-2,NI-NHS,46.6,75.8530042918455,850.6914431330472
C000001A,15-6-002,081+0.331,100+0.603,N-1,114,19.295,2164.75,41768.85125000001,,FLATHEAD,,US-2,NI-NHS,22.8,94.9451754385965,1831.9671600877195
C000083A,32-2-002,027+0.748,042+0.164,P-83,63,14.421,1216.75,17546.75175,,MISSOULA,,MT-83,Primary,12.6,96.56746031746032,1392.599345238095
C000036A,45-4-005,000+0.000,011+0.730,P-36,77,11.706,1585.75,18562.7895,,SANDERS,,MT-28,Primary,15.4,102.97077922077922,1205.3759415584414
C000093A,32-3-009,022+0.524,030+0.925,N-93,61,8.326,1258.0,10474.108,,MISSOULA,,US-12,NI-NHS,12.2,103.11475409836066,858.5334426229509
C000083A,24-2-012,068+0.213,078+0.913,P-83,59,10.974,1236.0,13563.864,,LAKE,,MT-83,Primary,11.8,104.7457627118644,1149.4799999999998
C000050A,16-4-001,028+0.309,044+0.374,N-50,102,16.05,2137.0,34298.85,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,20.4,104.75490196078432,1681.3161764705883
C000083A,24-2-011,054+0.870,068+0.213,P-83,51,13.257,1077.5,14284.4175,,LAKE,,MT-83,Primary,10.2,105.6372549019608,1400.4330882352942
C000006A,45-1-002,010+0.438,027+0.968,P-6,68,17.531,1480.75,25959.02825,,SANDERS,,MT-200,Primary,13.6,108.87867647058825,1908.7520772058824
C000001A,27-6-002,055+0.622,067+0.666,N-1,66,12.059,1446.0,17437.314,,LINCOLN,,US-2,NI-NHS,13.2,109.54545454545456,1321.0086363636362
C000011A,A-020,019+0.910,030+0.982,N-11,88,11.029,2068.5,22813.4865,,PARK,SECOND ST,US-89,NI-NHS,17.6,117.52840909090908,1296.2208238636365
C000005A,27-2-001,145+0.619,156+0.906,N-5,96,11.273,2265.75,25541.79975,,FLATHEAD,,MT-200/US-93,NI-NHS,19.2,118.0078125,1330.3020703125
C000001A,18-4-001,197+0.717,207+0.924,N-1,77,10.017,1828.25,18313.58025,,GLACIER,,US-2,NI-NHS,15.4,118.71753246753246,1189.1935227272727
C000041A,39-2-004,013+0.558,027+0.622,P-41,55,13.935,1321.0,18408.135,,POWELL,,MT-141,Primary,11.0,120.0909090909091,1673.4668181818183
C000210A,A-035,003+0.190,010+0.095,S-210,46,6.866,1118.0,7676.187999999999,,MISSOULA,HWY 210,S-210,Urban,9.2,121.5217391304348,834.3682608695652
C000078A,48-2-005,032+0.768,043+0.641,P-78,104,10.779,2536.25,27338.23875,,STILLWATER,3RD ST,MT-78,Primary,20.8,121.93509615384616,1314.3384014423077
C000083A,24-2-010,048+0.276,054+0.870,P-83,46,6.589,1129.0,7438.981000000001,,LAKE,,MT-83,Primary,9.2,122.71739130434784,808.5848913043479
C000011A,34-3-001,002+0.871,016+0.619,N-11,108,13.615,2718.2,37008.293,,PARK,SECOND ST,US-89,NI-NHS,21.6,125.84259259259258,1713.3468981481478
C000050A,A-043,047+0.954,068+0.641,N-50,321,20.708,8158.75,168951.395,,GALLATIN,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,64.2,127.08333333333331,2631.6416666666664
C000006A,45-2-002,037+0.125,047+0.624,P-6,72,10.486,1842.75,19323.076500000003,,SANDERS,,MT-200,Primary,14.4,127.96875,1341.8803125000002
C000057A,W-126,000+0.000,005+0.865,N-57,51,5.977,1357.8,8115.5706,,CASCADE,,MT-200/MT-3/US-87,NI-NHS,10.2,133.11764705882354,795.6441764705883
C000083A,32-2-001,014+0.960,027+0.748,P-83,64,12.695,1735.5,22032.1725,,MISSOULA,,MT-83,Primary,12.8,135.5859375,1721.2634765625
C000035A,31-1-006,007+0.678,017+0.951,P-35,64,10.237,1836.25,18797.69125,,SANDERS,,MT-135,Primary,12.8,143.45703125,1468.5696289062498
C000024A,07-1-003,133+0.579,139+0.437,N-24,78,5.861,2284.6666666666665,13390.431333333332,,CASCADE,,MT-200,NI-NHS,15.6,146.45299145299143,858.3609829059828
C000052A,24-2-008,006+0.142,016+0.435,P-52,92,10.27,2815.0,28910.05,,LAKE,S SHORE RD,MT-35,Primary,18.4,152.98913043478262,1571.1983695652175
C000057A,14-6-006,094+0.079,104+0.655,N-57,37,10.504,1155.5,12137.372,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,7.4,156.14864864864865,1640.1854054054052
